ISSN,Cote,Nommage PDF,Date de publication,Langue,Auteurs,Éditeur,Lieu d'édition,Sujets
0131-8756,8P5968,LC_8P_5876_1977_06.pdf,1977-06-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5969,LC_8P_5876_1977_07.pdf,1977-07-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5970,LC_8P_5876_1977_08.pdf,1977-08-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5971,LC_8P_5876_1977_09.pdf,1977-09-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5972,LC_8P_5876_1977_10.pdf,1977-10-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5973,LC_8P_5876_1977_11.pdf,1977-11-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5974,LC_8P_5876_1977_12.pdf,1977-12-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5975,LC_8P_5876_1978_01.pdf,1978-01-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5976,LC_8P_5876_1978_02.pdf,1978-02-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5977,LC_8P_5876_1978_03.pdf,1978-03-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5978,LC_8P_5876_1978_04.pdf,1978-04-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5979,LC_8P_5876_1978_05.pdf,1978-05-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5980,LC_8P_5876_1978_06.pdf,1978-06-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5981,LC_8P_5876_1978_07.pdf,1978-07-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5982,LC_8P_5876_1978_08.pdf,1978-08-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5983,LC_8P_5876_1978_09.pdf,1978-09-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5984,LC_8P_5876_1978_10.pdf,1978-10-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5985,LC_8P_5876_1978_11.pdf,1978-11-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5986,LC_8P_5876_1978_12.pdf,1978-12-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5987,LC_8P_5876_1979_01.pdf,1979-01-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5988,LC_8P_5876_1979_02.pdf,1979-02-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5989,LC_8P_5876_1979_03.pdf,1979-03-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5990,LC_8P_5876_1979_04.pdf,1979-04-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5991,LC_8P_5876_1979_05.pdf,1979-05-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5992,LC_8P_5876_1979_06.pdf,1979-06-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5993,LC_8P_5876_1979_07.pdf,1979-07-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5994,LC_8P_5876_1979_08.pdf,1979-08-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5995,LC_8P_5876_1979_09.pdf,1979-09-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5996,LC_8P_5876_1979_10.pdf,1979-10-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5997,LC_8P_5876_1979_11.pdf,1979-11-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5998,LC_8P_5876_1979_12.pdf,1979-12-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5999,LC_8P_5876_1980_01.pdf,1980-01-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P6000,LC_8P_5876_1980_02.pdf,1980-02-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P6001,LC_8P_5876_1980_03.pdf,1980-03-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P6002,LC_8P_5876_1980_04.pdf,1980-04-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P6003,LC_8P_5876_1980_05.pdf,1980-05-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P6004,LC_8P_5876_1980_06.pdf,1980-06-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P6005,LC_8P_5876_1980_07.pdf,1980-07-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P6006,LC_8P_5876_1980_08.pdf,1980-08-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P6007,LC_8P_5876_1980_09.pdf,1980-09-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P6008,LC_8P_5876_1980_10.pdf,1980-10-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P6009,LC_8P_5876_1980_11.pdf,1980-11-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P6010,LC_8P_5876_1980_12.pdf,1980-12-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
